"Beginn";"Ende";"Bezeichnung";"Bemerkungen"
"21.12.2004";"06.01.2005";"Weihnachtsferien";https://www.feiertagskalender.ch/ferien.php?geo=3129
"21.02.2005";"26.02.2005";"Semesterferien";
"19.03.2005";"29.03.2005";"Osterferien";
"14.05.2005";"17.05.2005";"Pfingstferien";
"09.07.2005";"10.09.2005";"Sommerferien";
"24.12.2005";"07.01.2006";"Weihnachtsferien";
"20.02.2006";"25.02.2006";"Semesterferien";
"08.04.2006";"18.04.2006";"Osterferien";
"03.06.2006";"06.06.2006";"Pfingstferien";
"08.07.2006";"09.09.2006";"Sommerferien";
"24.12.2006";"06.01.2007";"Weihnachtsferien";
"19.02.2007";"24.02.2007";"Semesterferien";
"31.03.2007";"10.04.2007";"Osterferien";
"26.05.2007";"29.05.2007";"Pfingstferien";
"07.07.2007";"08.09.2007";"Sommerferien";
"24.12.2007";"06.01.2008";"Weihnachtsferien";
"18.02.2008";"23.02.2008";"Semesterferien";
"15.03.2008";"25.03.2008";"Osterferien";
"10.05.2008";"13.05.2008";"Pfingstferien";
"05.07.2008";"06.09.2008";"Sommerferien";
"24.12.2008";"06.01.2009";"Weihnachtsferien";
"16.02.2009";"21.02.2009";"Semesterferien";
"04.04.2009";"14.04.2009";"Osterferien";
"22.05.2009";"22.05.2009";"Ferientag";
"30.05.2009";"02.06.2009";"Pfingstferien";
"12.06.2009";"12.06.2009";"Ferientag";
"11.07.2009";"13.09.2009";"Sommerferien";
"24.12.2009";"06.01.2010";"Weihnachtsferien";
"15.02.2010";"20.02.2010";"Semesterferien";
"27.03.2010";"06.04.2010";"Osterferien";
"22.05.2010";"25.05.2010";"Pfingstferien";
"10.07.2010";"11.09.2010";"Sommerferien";
"24.12.2010";"06.01.2011";"Weihnachtsferien";
"21.02.2011";"26.02.2011";"Semesterferien";
"16.04.2011";"26.04.2011";"Osterferien";
"02.06.2011";"03.06.2011";"Auffahrtsferien";
"11.06.2011";"14.06.2011";"Pfingstferien";
"23.06.2011";"24.06.2011";"Fronleichnam";
"09.07.2011";"10.09.2011";"Sommerferien";
"24.12.2011";"07.01.2012";"Weihnachtsferien";
"20.02.2012";"25.02.2012";"Semesterferien";
"31.03.2012";"10.04.2012";"Osterferien";
"26.05.2012";"29.05.2012";"Pfingstferien";
"07.07.2012";"08.09.2012";"Sommerferien";
